state_county_fips,state,county
101001,Alabama,Autauga County
101003,Alabama,Baldwin County
101005,Alabama,Barbour County
101007,Alabama,Bibb County
101009,Alabama,Blount County
101011,Alabama,Bullock County
101013,Alabama,Butler County
101015,Alabama,Calhoun County
101017,Alabama,Chambers County
101019,Alabama,Cherokee County
101021,Alabama,Chilton County
101023,Alabama,Choctaw County
101025,Alabama,Clarke County
101027,Alabama,Clay County
101029,Alabama,Cleburne County
101031,Alabama,Coffee County
101033,Alabama,Colbert County
101035,Alabama,Conecuh County
101037,Alabama,Coosa County
101039,Alabama,Covington County
101041,Alabama,Crenshaw County
101043,Alabama,Cullman County
101045,Alabama,Dale County
101047,Alabama,Dallas County
101049,Alabama,DeKalb County
101051,Alabama,Elmore County
101053,Alabama,Escambia County
101055,Alabama,Etowah County
101057,Alabama,Fayette County
101059,Alabama,Franklin County
101061,Alabama,Geneva County
101063,Alabama,Greene County
101065,Alabama,Hale County
101067,Alabama,Henry County
101069,Alabama,Houston County
101071,Alabama,Jackson County
101073,Alabama,Jefferson County
101075,Alabama,Lamar County
101077,Alabama,Lauderdale County
101079,Alabama,Lawrence County
101081,Alabama,Lee County
101083,Alabama,Limestone County
101085,Alabama,Lowndes County
101087,Alabama,Macon County
101089,Alabama,Madison County
101091,Alabama,Marengo County
101093,Alabama,Marion County
101095,Alabama,Marshall County
101097,Alabama,Mobile County
101099,Alabama,Monroe County
101101,Alabama,Montgomery County
101103,Alabama,Morgan County
101105,Alabama,Perry County
101107,Alabama,Pickens County
101109,Alabama,Pike County
101111,Alabama,Randolph County
101113,Alabama,Russell County
101115,Alabama,St. Clair County
101117,Alabama,Shelby County
101119,Alabama,Sumter County
101121,Alabama,Talladega County
101123,Alabama,Tallapoosa County
101125,Alabama,Tuscaloosa County
101127,Alabama,Walker County
101129,Alabama,Washington County
101131,Alabama,Wilcox County
101133,Alabama,Winston County
102013,Alaska,Aleutians East Borough
102016,Alaska,Aleutians West Census Area
102020,Alaska,Anchorage Borough
102050,Alaska,Bethel Census Area
102060,Alaska,Bristol Bay Borough
102068,Alaska,Denali Borough
102070,Alaska,Dillingham Census Area
102090,Alaska,Fairbanks North Star Borough
102100,Alaska,Haines Borough
102110,Alaska,Juneau Borough
102122,Alaska,Kenai Peninsula Borough
102130,Alaska,Ketchikan Gateway Borough
102150,Alaska,Kodiak Island Borough
102164,Alaska,Lake and Peninsula Borough
102170,Alaska,Matanuska-Susitna Borough
102180,Alaska,Nome Census Area
102185,Alaska,North Slope Borough
102188,Alaska,Northwest Arctic Borough
102201,Alaska,Prince of Wales-Outer Ketchikan Census Area
